24,3392,3520,7168,"NaN"
47,50944,5888,3328,"NaN"
72,331776,24576,446464,"NaN"
96,634880,1212416,540672,487424
120.5,1966080,2555904,1933312,1703936
144.5,2129920,1376256,1146880,1376256
168.5,667648,2621440,770048,311296
